instancia,n,minLower,minUpper,minDigit,minSymbol,estado,nodos_visitados_con_poda,nodos_sin_poda,soluciones,tiempo_ms_con_poda,tiempo_ms_sin_poda,horas_estimadas_peor_caso
"Barrido n=4",4,2,1,1,1,completo,1,20456441,0,0.002491,1261.04,-1
"Barrido n=5",5,2,1,1,1,parcial,50000001,1370581548,45862064,8094.74,-1,0.0616361
"Barrido n=6",6,2,1,1,1,parcial,50000001,91828963717,46087993,7925.12,-1,4.04309
"Barrido n=7",7,2,1,1,1,parcial,50000001,6152540569040,46163863,7787.73,-1,266.191
"Referencia",6,2,1,1,1,parcial,50000001,91828963717,46087993,7880.93,-1,4.02054
"1. Politica completa",8,2,1,1,1,parcial,50000001,412220218125681,46163862,7736.5,-1,17717.5
"2. Politica completa n=6",6,2,1,1,1,parcial,50000001,91828963717,46087993,7895.04,-1,4.02774
"3. Politica completa n=10",10,2,1,1,1,parcial,50000001,1850456559166182077,46163860,7738.01,-1,7.95491e+07
"4. Politica relajada",8,1,0,0,0,parcial,50000001,412220218125681,49242418,3761.34,-1,8613.89
"5. Sin restricciones (poda nula)",6,0,0,0,0,parcial,50000001,91828963717,49242420,3728.87,-1,1.90232
